epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.245,2.08043,2.77504,1.9199,0.01758,0.54311,0.03312,0.01341,2.26429,3.14363,1.86598,0.00042,0.00042,0.00042
2,30.4171,1.95021,2.33799,1.81465,0.02133,0.35006,0.04761,0.01812,2.24214,3.17759,2.00976,0.000842972,0.000842972,0.000842972
3,42.6789,1.88696,2.15814,1.78325,0.15543,0.13358,0.07118,0.02762,2.35346,2.77209,2.16145,0.00124852,0.00124852,0.00124852
4,52.1464,1.92234,2.19929,1.82916,0.18359,0.09138,0.0709,0.02788,2.50309,3.02646,2.39551,0.00163664,0.00163664,0.00163664
5,65.1007,1.92412,2.17917,1.87112,0.17353,0.1982,0.08349,0.03021,2.37412,2.7385,2.20673,0.0018416,0.0018416,0.0018416
6,74.9767,1.94579,2.14179,1.85607,0.22145,0.24968,0.12284,0.04054,2.48357,2.62202,2.25885,0.001802,0.001802,0.001802
7,86.5909,1.90656,2.12554,1.83188,0.20438,0.16345,0.11448,0.04294,2.39086,2.63305,2.22003,0.0017624,0.0017624,0.0017624
8,98.7705,1.8997,2.08961,1.81877,0.44523,0.18662,0.17944,0.06254,2.45565,2.61026,2.19944,0.0017228,0.0017228,0.0017228
9,107.707,1.88259,2.06196,1.83047,0.33223,0.24453,0.19692,0.07717,2.3293,2.39185,2.0545,0.0016832,0.0016832,0.0016832
10,120.316,1.85316,2.04746,1.78941,0.23216,0.27284,0.14666,0.05239,2.3353,2.59964,2.17333,0.0016436,0.0016436,0.0016436
11,129.616,1.79667,2.00588,1.78203,0.39297,0.23423,0.21053,0.08085,2.26305,2.43267,2.04389,0.001604,0.001604,0.001604
12,141.153,1.81085,1.97155,1.74687,0.37837,0.24324,0.2322,0.0944,2.20085,2.40104,1.98063,0.0015644,0.0015644,0.0015644
13,152.763,1.7744,1.91225,1.74703,0.42139,0.33591,0.30314,0.1264,2.12296,1.98477,1.8848,0.0015248,0.0015248,0.0015248
14,162.137,1.7675,1.91861,1.74318,0.45089,0.31145,0.28632,0.11661,2.17259,2.12963,1.87217,0.0014852,0.0014852,0.0014852
15,174.259,1.81369,1.89674,1.75974,0.38922,0.27799,0.2469,0.09648,2.23111,2.1475,1.96711,0.0014456,0.0014456,0.0014456
16,182.941,1.76693,1.89587,1.78068,0.38015,0.27863,0.25408,0.10821,2.16258,2.16926,1.89452,0.001406,0.001406,0.001406
17,195.282,1.75277,1.89579,1.73237,0.41007,0.3319,0.31421,0.12832,2.12449,2.06255,1.85601,0.0013664,0.0013664,0.0013664
18,205.046,1.81326,1.8758,1.73306,0.45434,0.35256,0.3209,0.1328,2.11132,1.96097,1.84178,0.0013268,0.0013268,0.0013268
19,216.091,1.73739,1.90099,1.72427,0.43231,0.33333,0.3241,0.13537,2.08032,1.98334,1.82229,0.0012872,0.0012872,0.0012872
20,227.808,1.70909,1.81782,1.71971,0.39266,0.28956,0.26615,0.11347,2.21355,2.24623,1.98268,0.0012476,0.0012476,0.0012476
21,236.742,1.71774,1.80316,1.71243,0.39512,0.28829,0.24622,0.09719,2.1713,2.18835,1.95689,0.001208,0.001208,0.001208
22,248.825,1.7025,1.75688,1.68295,0.4112,0.28185,0.27332,0.11021,2.17365,2.29318,1.91037,0.0011684,0.0011684,0.0011684
23,257.228,1.69165,1.75447,1.67807,0.43103,0.2925,0.2817,0.11733,2.1701,2.17841,1.92025,0.0011288,0.0011288,0.0011288
24,269.342,1.69512,1.7856,1.70616,0.43693,0.35393,0.31259,0.13613,2.12329,1.93309,1.86891,0.0010892,0.0010892,0.0010892
25,279.52,1.65796,1.75653,1.67222,0.41127,0.36165,0.32047,0.14101,2.13491,1.9686,1.86352,0.0010496,0.0010496,0.0010496
26,290.426,1.68236,1.6537,1.61692,0.49927,0.32561,0.32742,0.13873,2.13677,2.04751,1.86986,0.00101,0.00101,0.00101
27,302.692,1.65902,1.72184,1.67578,0.43531,0.34749,0.32071,0.12765,2.14202,2.03966,1.88507,0.0009704,0.0009704,0.0009704
