epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2787,2.70101,2.45929,2.45298,0.35373,0.02317,0.03271,0.01258,3.29631,3.38655,3.00442,0.00042,0.00042,0.00042
2,39.9854,2.2282,2.0014,2.07973,0.39752,0.10785,0.11092,0.04375,3.00041,3.03075,2.66373,0.000825944,0.000825944,0.000825944
3,49.1694,1.9783,1.8268,1.88256,0.40404,0.20766,0.19364,0.07842,2.5892,2.49435,2.30779,0.00119704,0.00119704,0.00119704
4,63.6071,1.90718,1.78763,1.84275,0.3925,0.27671,0.23594,0.09647,2.46676,2.15915,2.11623,0.00153329,0.00153329,0.00153329
5,72.2413,1.84535,1.7589,1.82275,0.39833,0.36894,0.3047,0.12643,2.23434,1.95255,1.93285,0.0016832,0.0016832,0.0016832
6,86.7368,1.86719,1.74495,1.7998,0.42628,0.33087,0.30173,0.11818,2.29697,1.93135,1.96385,0.001604,0.001604,0.001604
7,95.2577,1.79364,1.6907,1.75364,0.43939,0.34234,0.32951,0.13823,2.19394,1.85927,1.88284,0.0015248,0.0015248,0.0015248
8,108.507,1.76115,1.67323,1.713,0.49094,0.40412,0.37113,0.1534,2.12808,1.7737,1.84792,0.0014456,0.0014456,0.0014456
9,117.991,1.74879,1.66296,1.72322,0.40678,0.38481,0.33593,0.14325,2.15666,1.8437,1.88279,0.0013664,0.0013664,0.0013664
10,130.99,1.75361,1.64373,1.71298,0.40443,0.37066,0.33748,0.1415,2.13444,1.90597,1.87172,0.0012872,0.0012872,0.0012872
11,140.158,1.63156,1.58857,1.66004,0.41627,0.36036,0.33173,0.1426,2.12564,1.91213,1.8704,0.001208,0.001208,0.001208
12,153.348,1.64967,1.58222,1.64145,0.47973,0.36788,0.36345,0.15146,2.13935,1.84173,1.87962,0.0011288,0.0011288,0.0011288
13,162.602,1.62719,1.52439,1.63737,0.48666,0.40669,0.39712,0.17027,2.08705,1.76999,1.82598,0.0010496,0.0010496,0.0010496
14,176.451,1.60298,1.5262,1.63726,0.50148,0.36165,0.36306,0.16315,2.1122,1.90458,1.84841,0.0009704,0.0009704,0.0009704
15,186.324,1.64603,1.52811,1.64744,0.51151,0.3758,0.38622,0.16961,2.10347,1.77706,1.83815,0.0008912,0.0008912,0.0008912
16,200.237,1.65691,1.55385,1.65187,0.38025,0.32046,0.30025,0.1314,2.11464,2.11134,1.8807,0.000812,0.000812,0.000812
17,212.817,1.6236,1.47312,1.65135,0.4713,0.3763,0.37459,0.16442,2.08637,1.89351,1.84572,0.0007328,0.0007328,0.0007328
18,222.801,1.57986,1.41666,1.63897,0.46818,0.38635,0.36823,0.16212,2.09611,1.81354,1.8456,0.0006536,0.0006536,0.0006536
19,234.106,1.56398,1.40357,1.60681,0.44711,0.3668,0.35778,0.15586,2.10826,1.92286,1.85447,0.0005744,0.0005744,0.0005744
20,245.063,1.55713,1.39974,1.59948,0.53902,0.38739,0.3942,0.16912,2.11156,1.79057,1.85638,0.0004952,0.0004952,0.0004952
21,255.683,1.55976,1.37546,1.60887,0.50907,0.40283,0.40115,0.173,2.07007,1.74871,1.82359,0.000416,0.000416,0.000416
22,266.517,1.55173,1.39252,1.62604,0.46776,0.37967,0.36558,0.16095,2.0849,1.8689,1.82556,0.0003368,0.0003368,0.0003368
23,277.372,1.54413,1.34012,1.57939,0.49153,0.39125,0.38396,0.16669,2.08549,1.83481,1.81424,0.0002576,0.0002576,0.0002576
24,287.866,1.52087,1.3175,1.57309,0.50554,0.42633,0.40595,0.17552,2.08508,1.73295,1.80135,0.0001784,0.0001784,0.0001784
25,299.16,1.50658,1.30014,1.5428,0.49923,0.4157,0.40111,0.17599,2.08596,1.75918,1.80931,9.92e-05,9.92e-05,9.92e-05
